startup_id,company_name,sector,city,state,founding_year,funding_stage,amount_raised_usd,num_employees,revenue_monthly_ngn,investor_type,gender_founder
NG-5001,Questzone,Edtech,Lagos,Lagos,2022,Series A,6310400,101,57166000,VC Fund,Female
NG-5002,Showgo,Media & Entertainment,Abuja,FCT,2021,Series A,7997600,116,93853000,Corporate,Female
NG-5003,Studyfy,Edtech,Ibadan,Oyo,2022,Seed,1115400,15,4315000,Angel,Male
NG-5004,Dawapath,Healthtech,Lagos,Lagos,2016,Pre-seed,12700,10,5123000,VC Fund,Male
NG-5005,Coreapp,SaaS,Lagos,Lagos,2021,Pre-seed,61600,12,2415000,Crowdfunding,Mixed (Co-founders)
NG-5006,Crophub,Agritech,Lagos,Lagos,2018,Series A,1685900,20,11247000,Angel,Male
NG-5007,Cowryapp,Fintech,Abuja,FCT,2022,Seed,1331300,18,2160000,VC Fund,Male
NG-5008,Dropup,Logistics,Lagos,Lagos,2019,Pre-seed,64400,5,2132000,Angel,Mixed (Co-founders)
NG-5009,Tradeio,E-commerce,Lagos,Lagos,2016,Pre-seed,126100,11,10735000,VC Fund,Mixed (Co-founders)
NG-5010,Cashhub,Fintech,Abuja,FCT,2023,Seed,1237500,5,2474000,VC Fund,Male
NG-5011,Paylabs,Fintech,Lagos,Lagos,2022,Seed,967800,11,5060000,VC Fund,Male
NG-5012,Seedtech,Agritech,Lagos,Lagos,2023,Series B,13915700,103,21901000,Corporate,Male
NG-5013,Shopwave,E-commerce,Abuja,FCT,2023,Series A,3934500,47,23433000,VC Fund,Male
NG-5014,Healthwave,Healthtech,Abuja,FCT,2024,Series B,14991500,204,186204000,Corporate,Male
NG-5015,Pipely,SaaS,Kano,Kano,2019,Series B,12425200,169,164943000,Accelerator,Male
NG-5016,Shopstack,E-commerce,Lagos,Lagos,2024,Seed,233400,33,8950000,Crowdfunding,Male
NG-5017,Afyahub,Healthtech,Lagos,Lagos,2022,Seed,1420600,13,2797000,Angel,Male
NG-5018,Ajogo,Fintech,Abuja,FCT,2021,Series A,6807600,90,41006000,Corporate,Female
NG-5019,Agrobase,Agritech,Lagos,Lagos,2019,Seed,419500,30,9237000,VC Fund,Male
NG-5020,Soundbox,Media & Entertainment,Abuja,FCT,2016,Seed,1011600,21,3727000,Accelerator,Mixed (Co-founders)
NG-5021,Cashup,Fintech,Lagos,Lagos,2022,Pre-seed,100700,6,6077000,VC Fund,Male
NG-5022,Ajoio,Fintech,Ibadan,Oyo,2024,Pre-seed,95700,3,1114000,Corporate,Female
NG-5023,Studylabs,Edtech,Lagos,Lagos,2021,Pre-seed,74700,6,1176000,Corporate,Male
NG-5024,Deallabs,E-commerce,Lagos,Lagos,2023,Series A,7510000,33,16995000,VC Fund,Female
NG-5025,Classly,Edtech,Abuja,FCT,2020,Seed,339400,13,5347000,Angel,Male
NG-5026,Tutorhub,Edtech,Abuja,FCT,2019,Pre-seed,96300,8,1392000,Accelerator,Male
NG-5027,Flickbox,Fintech,Enugu,Enugu,2022,Series A,2985600,83,40060000,VC Fund,Male
NG-5028,Scholarpro,Edtech,Lagos,Lagos,2021,Seed,109400,18,4522000,Accelerator,Female
NG-5029,Esusubox,Fintech,Ilorin,Kwara,2021,Series A,6915700,104,33836000,VC Fund,Male
NG-5030,Monogo,Fintech,Lagos,Lagos,2019,Seed,539300,9,5845000,VC Fund,Male
NG-5031,Payx,Fintech,Lagos,Lagos,2020,Pre-seed,49700,2,640000,VC Fund,Male
NG-5032,Kudihub,Fintech,Lagos,Lagos,2021,Series A,7341000,98,14158000,Accelerator,Mixed (Co-founders)
NG-5033,Braintech,Edtech,Lagos,Lagos,2017,Growth,47458000,302,159946000,Government Grant,Mixed (Co-founders)
NG-5034,Viewio,Media & Entertainment,Ilorin,Kwara,2023,Series A,3587900,66,19721000,VC Fund,Female
NG-5035,Hubpath,SaaS,Abuja,FCT,2020,Seed,10130200,33,26111000,VC Fund,Mixed (Co-founders)
NG-5036,Paypro,Fintech,Lagos,Lagos,2020,Growth,19528300,499,160965000,Corporate,Male
NG-5037,Baseio,SaaS,Lagos,Lagos,2021,Pre-seed,328900,10,4948000,Angel,Male
NG-5038,Sellpro,E-commerce,Lagos,Lagos,2021,Series B,10501600,103,38040000,Angel,Male
NG-5039,Deally,E-commerce,Ibadan,Oyo,2023,Pre-seed,75300,5,1981000,VC Fund,Mixed (Co-founders)
NG-5040,Healthbase,Healthtech,Lagos,Lagos,2023,Series B,14491000,112,23597000,VC Fund,Female
NG-5041,Streampro,Media & Entertainment,Lagos,Lagos,2024,Pre-seed,71000,4,1323000,Angel,Male
NG-5042,Kudiwave,Fintech,Lagos,Lagos,2022,Pre-seed,79100,4,0,Accelerator,Male
NG-5043,Vendpath,E-commerce,Ibadan,Oyo,2024,Seed,1400900,24,14598000,Crowdfunding,Female
NG-5044,Beatly,Media & Entertainment,Lagos,Lagos,2022,Seed,527900,27,18290000,Angel,Female
NG-5045,Tradebox,E-commerce,Lagos,Lagos,2024,Pre-seed,101900,7,7007000,VC Fund,Male
NG-5046,Ajoup,Fintech,Abeokuta,Ogun,2018,Series A,3930600,112,17947000,Angel,Male
NG-5047,Shipai,Logistics,Abuja,FCT,2022,Series B,14658600,71,11551000,Crowdfunding,Male
NG-5048,Pulsewave,Healthtech,Lagos,Lagos,2018,Pre-seed,64400,2,267000,Corporate,Mixed (Co-founders)
NG-5049,Kuditech,Fintech,Benin City,Edo,2023,Pre-seed,26600,3,2130000,Government Grant,Female
NG-5050,Farmzone,Agritech,Ibadan,Oyo,2023,Seed,1496300,32,18390000,Accelerator,Male
NG-5051,Healthtech,Healthtech,Uyo,Akwa Ibom,2018,Pre-seed,127500,4,2760000,Government Grant,Male
NG-5052,Kudistack,Fintech,Ibadan,Oyo,2018,Series A,1514400,23,3634000,VC Fund,Female
NG-5053,Studytech,Edtech,Lagos,Lagos,2022,Pre-seed,114700,5,890000,VC Fund,Male
NG-5054,Stocklabs,E-commerce,Abuja,FCT,2020,Seed,152500,15,2533000,Angel,Mixed (Co-founders)
NG-5055,Gopro,Logistics,Ibadan,Oyo,2024,Series A,6289400,91,50355000,VC Fund,Mixed (Co-founders)
NG-5056,Kudibase,Fintech,Lagos,Lagos,2016,Series B,18403200,280,149158000,Crowdfunding,Male
NG-5057,Cowryhub,Fintech,Lagos,Lagos,2015,Seed,689700,5,1497000,Crowdfunding,Mixed (Co-founders)
NG-5058,Nodetech,SaaS,Abuja,FCT,2021,Pre-seed,131700,3,326000,Corporate,Mixed (Co-founders)
NG-5059,Tradex,E-commerce,Abuja,FCT,2016,Series B,19919500,113,74667000,Angel,Male
NG-5060,Playfy,Media & Entertainment,Lagos,Lagos,2023,Pre-seed,25200,12,6216000,Corporate,Mixed (Co-founders)
NG-5061,Esusunow,Fintech,Uyo,Akwa Ibom,2017,Seed,298000,10,6666000,VC Fund,Male
NG-5062,Cowryup,Fintech,Benin City,Edo,2020,Pre-seed,72300,11,0,Crowdfunding,Mixed (Co-founders)
NG-5063,Basehub,SaaS,Lagos,Lagos,2021,Pre-seed,107500,5,1656000,VC Fund,Mixed (Co-founders)
NG-5064,Payly,Fintech,Lagos,Lagos,2022,Pre-seed,11000,5,1159000,VC Fund,Male
NG-5065,Buylabs,E-commerce,Abuja,FCT,2022,Series A,5115000,75,11923000,Angel,Mixed (Co-founders)
NG-5066,Sellio,E-commerce,Lagos,Lagos,2022,Seed,696400,17,15277000,Accelerator,Mixed (Co-founders)
NG-5067,Shownow,Media & Entertainment,Lagos,Lagos,2023,Series A,4407600,105,36350000,Angel,Mixed (Co-founders)
NG-5068,Sellnow,E-commerce,Ibadan,Oyo,2015,Pre-seed,14800,12,7262000,Angel,Male
NG-5069,Cashio,Fintech,Lagos,Lagos,2020,Seed,366700,32,12585000,VC Fund,Mixed (Co-founders)
NG-5070,Sendpath,Logistics,Lagos,Lagos,2022,Seed,746000,35,3551000,Accelerator,Male
NG-5071,Kudilabs,Fintech,Enugu,Enugu,2018,Pre-seed,15900,8,1709000,Angel,Male
NG-5072,Pharmstack,Healthtech,Abuja,FCT,2021,Seed,9702400,28,9977000,Crowdfunding,Male
NG-5073,Tuneup,Media & Entertainment,Benin City,Edo,2022,Series A,6339300,105,26521000,Angel,Male
NG-5074,Skillng,Edtech,Benin City,Edo,2021,Pre-seed,66300,8,0,Government Grant,Male
NG-5075,Cleango,Cleantech,Lagos,Lagos,2022,Series A,4050900,75,40554000,VC Fund,Female
NG-5076,Stackpath,SaaS,Lagos,Lagos,2022,Series B,10289600,265,120413000,Angel,Female
NG-5077,Dealstack,E-commerce,Kano,Kano,2018,Series A,1071300,21,4846000,VC Fund,Male
NG-5078,Brainbase,Edtech,Lagos,Lagos,2024,Series A,43490100,43,15228000,Government Grant,Male
NG-5079,Nairatech,Fintech,Abuja,FCT,2023,Pre-seed,75600,2,0,Accelerator,Male
NG-5080,Voltng,Cleantech,Enugu,Enugu,2019,Seed,710300,9,4202000,Angel,Female
NG-5081,Meditech,Healthtech,Lagos,Lagos,2023,Pre-seed,69800,12,0,VC Fund,Male
NG-5082,Basezone,SaaS,Abuja,FCT,2022,Pre-seed,26000,6,1878000,Accelerator,Male
NG-5083,Nairaly,Fintech,Lagos,Lagos,2018,Pre-seed,52100,12,6245000,VC Fund,Male
NG-5084,Dawaio,Healthtech,Abuja,FCT,2023,Pre-seed,20300,6,4742000,Angel,Male
